repo,childSha,parentSha,childBranch,file,newHitLines,newNonHitLines,newFileHitLines,newFileNonHitLines,deletedLinesTested,deletedLinesNotTested,deletedFileLinesTested,deletedFileLinesNotTested,oldLinesNewlyTested,oldLinesNoLongerTested,modifiedLinesNewlyHit,modifiedLinesStillHit,modifiedLinesNotHit,nStatementsInBoth,nStatementsInEither,totalStatementsHitNow,totalStatementsHitPrev,totalStatementsNow,totalStatementsPrev
ARMmbed/mbed-ls,9690baadcdb4505a87ab00e1dc23a0b8ba0b34d8,630d6609f31928baa1f9974bcd812bafdce82396,master,mbed_lstools/darwin.py,0,0,0,0,0,0,0,0,0,0,0,0,0,85,85,85,85,93,93
ARMmbed/mbed-ls,9690baadcdb4505a87ab00e1dc23a0b8ba0b34d8,630d6609f31928baa1f9974bcd812bafdce82396,master,mbed_lstools/windows.py,0,0,0,0,0,0,0,0,0,0,0,0,0,216,216,216,216,253,253
ARMmbed/mbed-ls,9690baadcdb4505a87ab00e1dc23a0b8ba0b34d8,630d6609f31928baa1f9974bcd812bafdce82396,master,mbed_lstools/lstools_base.py,0,0,0,0,0,0,0,0,0,0,0,0,0,261,261,261,261,354,354
ARMmbed/mbed-ls,9690baadcdb4505a87ab00e1dc23a0b8ba0b34d8,630d6609f31928baa1f9974bcd812bafdce82396,master,mbed_lstools/platform_database.py,0,0,0,0,0,0,0,0,0,0,0,0,0,138,138,138,138,138,138
ARMmbed/mbed-ls,9690baadcdb4505a87ab00e1dc23a0b8ba0b34d8,630d6609f31928baa1f9974bcd812bafdce82396,master,mbed_lstools/__init__.py,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2
ARMmbed/mbed-ls,9690baadcdb4505a87ab00e1dc23a0b8ba0b34d8,630d6609f31928baa1f9974bcd812bafdce82396,master,mbed_lstools/linux.py,0,0,0,0,0,0,0,0,0,0,0,0,0,74,74,74,74,83,83
ARMmbed/mbed-ls,9690baadcdb4505a87ab00e1dc23a0b8ba0b34d8,630d6609f31928baa1f9974bcd812bafdce82396,master,mbed_lstools/main.py,0,0,0,0,0,0,0,0,0,0,0,0,0,93,93,93,93,135,135
ARMmbed/mbed-ls,630d6609f31928baa1f9974bcd812bafdce82396,f773c6ebffa843a4dedb938492842d3842eb638a,master,mbed_lstools/darwin.py,0,0,0,0,0,0,0,0,0,0,0,0,0,85,85,85,85,93,93
ARMmbed/mbed-ls,630d6609f31928baa1f9974bcd812bafdce82396,f773c6ebffa843a4dedb938492842d3842eb638a,master,mbed_lstools/windows.py,0,0,0,0,0,0,0,0,0,0,0,0,0,216,216,216,216,253,253
ARMmbed/mbed-ls,630d6609f31928baa1f9974bcd812bafdce82396,f773c6ebffa843a4dedb938492842d3842eb638a,master,mbed_lstools/lstools_base.py,0,0,0,0,0,0,0,0,0,0,0,0,0,261,261,261,261,354,354
ARMmbed/mbed-ls,630d6609f31928baa1f9974bcd812bafdce82396,f773c6ebffa843a4dedb938492842d3842eb638a,master,mbed_lstools/platform_database.py,0,0,0,0,0,0,0,0,0,0,0,0,0,138,138,138,138,138,138
ARMmbed/mbed-ls,630d6609f31928baa1f9974bcd812bafdce82396,f773c6ebffa843a4dedb938492842d3842eb638a,master,mbed_lstools/__init__.py,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2
ARMmbed/mbed-ls,630d6609f31928baa1f9974bcd812bafdce82396,f773c6ebffa843a4dedb938492842d3842eb638a,master,mbed_lstools/linux.py,0,0,0,0,0,0,0,0,0,0,0,0,0,74,74,74,74,83,83
ARMmbed/mbed-ls,630d6609f31928baa1f9974bcd812bafdce82396,f773c6ebffa843a4dedb938492842d3842eb638a,master,mbed_lstools/main.py,0,0,0,0,0,0,0,0,0,0,0,0,0,93,93,93,93,135,135
ARMmbed/mbed-ls,f773c6ebffa843a4dedb938492842d3842eb638a,0f13fc79fa63a970a576db395ca9c97131a93377,master,mbed_lstools/darwin.py,0,0,0,0,0,0,0,0,0,0,0,0,0,85,85,85,85,93,93
ARMmbed/mbed-ls,f773c6ebffa843a4dedb938492842d3842eb638a,0f13fc79fa63a970a576db395ca9c97131a93377,master,mbed_lstools/windows.py,0,0,0,0,0,0,0,0,0,0,0,0,0,216,216,216,216,253,253
ARMmbed/mbed-ls,f773c6ebffa843a4dedb938492842d3842eb638a,0f13fc79fa63a970a576db395ca9c97131a93377,master,mbed_lstools/lstools_base.py,0,0,0,0,0,0,0,0,0,0,0,0,0,261,261,261,261,354,354
ARMmbed/mbed-ls,f773c6ebffa843a4dedb938492842d3842eb638a,0f13fc79fa63a970a576db395ca9c97131a93377,master,mbed_lstools/platform_database.py,0,0,0,0,0,0,0,0,0,0,0,0,0,138,138,138,138,138,138
ARMmbed/mbed-ls,f773c6ebffa843a4dedb938492842d3842eb638a,0f13fc79fa63a970a576db395ca9c97131a93377,master,mbed_lstools/__init__.py,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2
ARMmbed/mbed-ls,f773c6ebffa843a4dedb938492842d3842eb638a,0f13fc79fa63a970a576db395ca9c97131a93377,master,mbed_lstools/linux.py,0,0,0,0,0,0,0,0,0,0,0,0,0,74,74,74,74,83,83
ARMmbed/mbed-ls,f773c6ebffa843a4dedb938492842d3842eb638a,0f13fc79fa63a970a576db395ca9c97131a93377,master,mbed_lstools/main.py,0,0,0,0,0,0,0,0,0,0,0,0,0,93,93,93,93,135,135
ARMmbed/mbed-ls,0f13fc79fa63a970a576db395ca9c97131a93377,fcb2d1725578229d6198a871d4ab8985096b3caa,master,mbed_lstools/darwin.py,0,0,0,0,0,0,0,0,0,0,0,0,0,85,85,85,85,93,93
ARMmbed/mbed-ls,0f13fc79fa63a970a576db395ca9c97131a93377,fcb2d1725578229d6198a871d4ab8985096b3caa,master,mbed_lstools/windows.py,0,0,0,0,0,0,0,0,0,0,0,0,0,216,216,216,216,253,253
ARMmbed/mbed-ls,0f13fc79fa63a970a576db395ca9c97131a93377,fcb2d1725578229d6198a871d4ab8985096b3caa,master,mbed_lstools/lstools_base.py,0,0,0,0,0,0,0,0,0,0,0,0,0,261,261,261,261,354,354
ARMmbed/mbed-ls,0f13fc79fa63a970a576db395ca9c97131a93377,fcb2d1725578229d6198a871d4ab8985096b3caa,master,mbed_lstools/platform_database.py,0,0,0,0,0,0,0,0,0,0,0,0,0,138,138,138,138,138,138
ARMmbed/mbed-ls,0f13fc79fa63a970a576db395ca9c97131a93377,fcb2d1725578229d6198a871d4ab8985096b3caa,master,mbed_lstools/__init__.py,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2
ARMmbed/mbed-ls,0f13fc79fa63a970a576db395ca9c97131a93377,fcb2d1725578229d6198a871d4ab8985096b3caa,master,mbed_lstools/linux.py,0,0,0,0,0,0,0,0,0,0,0,0,0,74,74,74,74,83,83
ARMmbed/mbed-ls,0f13fc79fa63a970a576db395ca9c97131a93377,fcb2d1725578229d6198a871d4ab8985096b3caa,master,mbed_lstools/main.py,0,0,0,0,0,0,0,0,0,0,0,0,0,93,93,93,93,135,135
